,자치구,2020,2021,2022,2023,2024
4,종로구,3102,2712,3138,2981,2765
5,중구,3411,2861,3071,3348,2955
6,용산구,2969,2381,2967,3021,3322
7,성동구,2362,2112,2194,2023,2117
8,광진구,3601,3087,3619,3424,2870
9,동대문구,3401,2959,3253,2957,3216
10,중랑구,3726,3210,3599,3324,3169
11,성북구,2567,2411,2749,2411,2184
12,강북구,2770,2301,2832,2497,2289
13,도봉구,2179,1860,2141,1921,1741
14,노원구,3743,3425,3896,3567,3101
15,은평구,3390,3244,3487,3493,3217
16,서대문구,2533,2278,2374,2385,2054
17,마포구,3688,3540,4096,3834,3891
18,양천구,3216,3015,3169,3019,3000
19,강서구,4415,3896,4663,4296,4008
20,구로구,4175,3486,3857,3737,3378
21,금천구,2598,2439,2577,2240,2017
22,영등포구,5217,4179,4819,4418,4167
23,동작구,3200,2631,2735,2642,2454
24,관악구,5261,4444,4879,4769,4485
25,서초구,4601,3656,4459,4522,3788
26,강남구,7356,6146,6947,6763,6107
27,송파구,5410,4714,5167,5223,5174
28,강동구,3788,3458,3711,3398,3350
