자치구명,청년층,중장년층,노년층
종로구,38954,64629,29840
중구,33678,58199,26853
용산구,51991,100232,39407
성동구,68118,127908,51245
광진구,98639,151258,59743
동대문구,97764,150070,69582
중랑구,82588,177331,83492
성북구,101913,191426,83568
강북구,58827,129521,71411
도봉구,57222,139719,74223
노원구,99397,226120,100579
은평구,97594,212853,98063
서대문구,81647,137081,60229
마포구,99463,166825,60009
양천구,78382,204589,80390
강서구,131356,253176,107553
구로구,84581,192583,83873
금천구,58757,109595,47951
영등포구,100730,180554,70455
동작구,102956,166269,73201
관악구,170365,195786,88885
서초구,79888,192366,68735
강남구,111989,262685,91470
송파구,139270,304275,114243
강동구,95876,223374,89895
