역사명,노선명,lat,lng
청량리(서울시립대입구),1호선,37.580148,127.045063
제기동,1호선,37.578116,127.034902
신설동,1호선,37.576117,127.02471
동묘앞,1호선,37.573265,127.016459
동대문,1호선,37.571646,127.01069
종로5가,1호선,37.570971,127.0019
종로3가,1호선,37.570429,126.992095
종각,1호선,37.570203,126.983116
시청,1호선,37.565211,126.977207
서울역,1호선,37.55585,126.972103
시청,2호선,37.563534,126.975271
을지로입구,2호선,37.565998,126.982569
을지로3가,2호선,37.566292,126.990873
을지로4가,2호선,37.566611,126.997622
동대문역사문화공원(DDP),2호선,37.565609,127.009083
신당,2호선,37.565675,127.0194259
상왕십리,2호선,37.564444,127.029322
왕십리(성동구청),2호선,37.561289,127.0370615
한양대,2호선,37.555758,127.0436594
뚝섬,2호선,37.54718,127.047413
성수,2호선,37.544628,127.055983
건대입구,2호선,37.540408,127.069231
구의(광진구청),2호선,37.537157,127.0862124
강변(동서울터미널),2호선,37.535161,127.094684
잠실나루,2호선,37.520688,127.103836
잠실(송파구청),2호선,37.513305,127.100129
잠실새내,2호선,37.511653,127.086224
종합운동장,2호선,37.511128,127.073841
삼성(무역센터),2호선,37.508827,127.063203
선릉,2호선,37.504477,127.048974
역삼,2호선,37.500658,127.03643
강남,2호선,37.49805,127.02795
교대(법원·검찰청),2호선,37.493957,127.014431
서초,2호선,37.49191,127.007685
방배,2호선,37.481469,126.997627
사당,2호선,37.476536,126.981631
낙성대(강감찬),2호선,37.47713,126.963583
서울대입구(관악구청),2호선,37.481233,126.952745
봉천,2호선,37.482416,126.941696
신림,2호선,37.484216,126.929573
신대방,2호선,37.487604,126.913479
구로디지털단지,2호선,37.4852931,126.901456
대림(구로구청),2호선,37.4932826,126.8949793
신도림,2호선,37.508815,126.891222
문래,2호선,37.517993,126.894766
영등포구청,2호선,37.525766,126.896627
당산,2호선,37.534807,126.902611
합정,2호선,37.550025,126.914557
홍대입구,2호선,37.556748,126.923643
신촌(지하),2호선,37.555153,126.93689
이대,2호선,37.556734,126.945897
아현,2호선,37.557407,126.956079
충정로(경기대입구),2호선,37.559742,126.964455
용답,2호선,37.562066,127.0508786
신답,2호선,37.569847,127.047048
용두(동대문구청),2호선,37.574012,127.03811
신설동,2호선,37.574653,127.025158
도림천,2호선,37.5145589,126.882586
양천구청,2호선,37.5123294,126.865593
신정네거리,2호선,37.520218,126.852849
지축,3호선,37.648151,126.913751
구파발,3호선,37.636612,126.918827
연신내,3호선,37.619295,126.920959
불광,3호선,37.610154,126.930183
녹번,3호선,37.600882,126.935758
홍제,3호선,37.588851,126.944092
무악재,3호선,37.582658,126.950131
독립문,3호선,37.574534,126.957902
경복궁(정부서울청사),3호선,37.575844,126.973576
안국,3호선,37.576562,126.98547
종로3가,3호선,37.571537,126.991837
을지로3가,3호선,37.566299,126.992616
충무로,3호선,37.561382,126.994173
동대입구,3호선,37.55906,127.005273
약수,3호선,37.554554,127.010858
금호,3호선,37.548269,127.015785
옥수,3호선,37.541653,127.017303
압구정,3호선,37.526169,127.028502
신사,3호선,37.516438,127.020247
잠원,3호선,37.512989,127.011613
고속터미널,3호선,37.504953,127.004916
교대(법원·검찰청),3호선,37.49306,127.013796
남부터미널(예술의전당),3호선,37.48494,127.016289
양재(서초구청),3호선,37.48458,127.03423
매봉,3호선,37.487114,127.046907
도곡,3호선,37.491129,127.055694
대치,3호선,37.494601,127.063449
학여울,3호선,37.496787,127.0708601
대청,3호선,37.493607,127.079526
일원,3호선,37.48389,127.08416
수서,3호선,37.4875,127.101924
가락시장,3호선,37.492318,127.1177
경찰병원,3호선,37.495754,127.124198
오금,3호선,37.502288,127.128344
불암산,4호선,37.67009,127.079004
상계,4호선,37.660576,127.073199
노원,4호선,37.656274,127.063183
창동,4호선,37.653315,127.048304
쌍문,4호선,37.648274,127.034381
수유(강북구청),4호선,37.637727,127.025371
미아(서울사이버대학),4호선,37.626435,127.026151
미아사거리,4호선,37.613276,127.030083
길음,4호선,37.603387,127.025053
성신여대입구(돈암),4호선,37.592882,127.016908
한성대입구(삼선교),4호선,37.58838,127.005951
혜화,4호선,37.582116,127.001929
동대문,4호선,37.57099,127.00925
동대문역사문화공원(DDP),4호선,37.565141,127.007808
충무로,4호선,37.561352,126.994573
명동,4호선,37.560955,126.986271
회현(남대문시장),4호선,37.558698,126.978346
서울역,4호선,37.553172,126.972706
숙대입구(갈월),4호선,37.5447834,126.9721
삼각지(전쟁기념관),4호선,37.534457,126.972992
신용산,4호선,37.52919,126.96858
이촌(국립중앙박물관),4호선,37.52919,126.9679818
동작(현충원),4호선,37.503567,126.980171
총신대입구(이수),4호선,37.487521,126.982309
사당,4호선,37.476263,126.981636
남태령,4호선,37.464339,126.989081
방화,5호선,37.577669,126.812822
개화산,5호선,37.572458,126.806838
김포공항,5호선,37.56217,126.801273
송정,5호선,37.561201,126.812052
마곡,5호선,37.55865,126.837693
발산,5호선,37.562182,126.82693
우장산,5호선,37.548864,126.83633
화곡,5호선,37.541585,126.840436
까치산,5호선,37.53221,126.846466
신정(은행정),5호선,37.525001,126.856176
목동,5호선,37.526088,126.864296
오목교(목동운동장앞),5호선,37.524557,126.875049
양평,5호선,37.525614,126.886177
영등포구청,5호선,37.524209,126.895022
영등포시장,5호선,37.52276,126.905143
신길,5호선,37.51763,126.914886
여의도,5호선,37.521678,126.924318
여의나루,5호선,37.527045,126.932807
마포,5호선,37.539718,126.946043
공덕,5호선,37.544005,126.951058
애오개,5호선,37.553592,126.956733
충정로(경기대입구),5호선,37.560061,126.962783
서대문,5호선,37.565812,126.966639
광화문(세종문화회관),5호선,37.571645,126.976568
종로3가(탑골공원),5호선,37.572546,126.990447
을지로4가,5호선,37.56728,126.998127
동대문역사문화공원(DDP),5호선,37.564682,127.00533
청구,5호선,37.560237,127.01379
신금호,5호선,37.554504,127.020403
행당,5호선,37.557297,127.029482
왕십리(성동구청),5호선,37.56197,127.037264
마장,5호선,37.566066,127.042921
답십리,5호선,37.566833,127.05266
장한평,5호선,37.561438,127.064601
군자(능동),5호선,37.557102,127.079559
아차산(어린이대공원후문),5호선,37.552005,127.089609
광나루(장신대),5호선,37.545301,127.103478
천호(풍납토성),5호선,37.538566,127.123539
강동,5호선,37.53581,127.13249
길동,5호선,37.538022,127.140085
굽은다리(강동구민회관앞),5호선,37.545442,127.142844
명일,5호선,37.551317,127.144002
고덕,5호선,37.555002,127.154214
상일동,5호선,37.556714,127.166381
강일,5호선,37.557521,127.176018
미사,5호선,37.56309,127.192954
하남풍산,5호선,37.552201,127.203897
하남시청(덕풍∙신장),5호선,37.541723,127.206901
하남검단산,5호선,37.539729,127.223427
둔촌동,5호선,37.527787,127.136219
올림픽공원(한국체대),5호선,37.516217,127.130957
방이,5호선,37.508752,127.126054
오금,5호선,37.502228,127.127701
개롱,5호선,37.498097,127.134817
거여,5호선,37.493208,127.143983
마천,5호선,37.494972,127.152784
응암,6호선,37.59859,126.915583
역촌,6호선,37.60605,126.922764
불광,6호선,37.610919,126.929504
독바위,6호선,37.618413,126.933035
